Date,Store/Product,Value
20180101,LOS_ANGELES-TESLA_MODEL_X,2926
20180102,LOS_ANGELES-TESLA_MODEL_X,2687.531
20180103,LOS_ANGELES-TESLA_MODEL_X,2793
20180104,LOS_ANGELES-TESLA_MODEL_X,2394
20180105,LOS_ANGELES-TESLA_MODEL_X,2660
20180106,LOS_ANGELES-TESLA_MODEL_X,2527
20180107,LOS_ANGELES-TESLA_MODEL_X,2527
20180108,LOS_ANGELES-TESLA_MODEL_X,2793
20180109,LOS_ANGELES-TESLA_MODEL_X,2793
20180110,LOS_ANGELES-TESLA_MODEL_X,2793
20180111,LOS_ANGELES-TESLA_MODEL_X,2926
20180112,LOS_ANGELES-TESLA_MODEL_X,2793
20180113,LOS_ANGELES-TESLA_MODEL_X,2869.8208
20180114,LOS_ANGELES-TESLA_MODEL_X,3325
20180115,LOS_ANGELES-TESLA_MODEL_X,2261
20180116,LOS_ANGELES-TESLA_MODEL_X,2261
20180117,LOS_ANGELES-TESLA_MODEL_X,2253.685
20180118,LOS_ANGELES-TESLA_MODEL_X,2394
20180119,LOS_ANGELES-TESLA_MODEL_X,2394
20180120,LOS_ANGELES-TESLA_MODEL_X,2394
20180121,LOS_ANGELES-TESLA_MODEL_X,2527
20180122,LOS_ANGELES-TESLA_MODEL_X,2793
20180123,LOS_ANGELES-TESLA_MODEL_X,2660
20180124,LOS_ANGELES-TESLA_MODEL_X,2547.1362
20180125,LOS_ANGELES-TESLA_MODEL_X,2926
20180126,LOS_ANGELES-TESLA_MODEL_X,2926
20180127,LOS_ANGELES-TESLA_MODEL_X,3059
20180128,LOS_ANGELES-TESLA_MODEL_X,2853.1027
20180129,LOS_ANGELES-TESLA_MODEL_X,2793
20180130,LOS_ANGELES-TESLA_MODEL_X,2793
20180131,LOS_ANGELES-TESLA_MODEL_X,2816.4745
20180201,LOS_ANGELES-TESLA_MODEL_X,2231.1548
20180202,LOS_ANGELES-TESLA_MODEL_X,5212.004
20180203,LOS_ANGELES-TESLA_MODEL_X,5032.853
20180204,LOS_ANGELES-TESLA_MODEL_X,2253.685
20180205,LOS_ANGELES-TESLA_MODEL_X,2261
20180206,LOS_ANGELES-TESLA_MODEL_X,2261
20180207,LOS_ANGELES-TESLA_MODEL_X,2253.685
20180208,LOS_ANGELES-TESLA_MODEL_X,2253.685
20180209,LOS_ANGELES-TESLA_MODEL_X,2394
20180210,LOS_ANGELES-TESLA_MODEL_X,2527
20180211,LOS_ANGELES-TESLA_MODEL_X,2380.1148
20180212,LOS_ANGELES-TESLA_MODEL_X,2660
20180213,LOS_ANGELES-TESLA_MODEL_X,2380.1148
